"trainer/global_step","vanillasinh_small - train_loss","vanillasinh_small - train_loss__MIN","vanillasinh_small - train_loss__MAX","vanillasinh_small - _step","vanillasinh_small - _step__MIN","vanillasinh_small - _step__MAX"
"14199","0.12622395157814026","0.12622395157814026","0.12622395157814026","141","141","141"
"14299","0.12977656722068787","0.12977656722068787","0.12977656722068787","142","142","142"
"14399","0.11708720028400421","0.11708720028400421","0.11708720028400421","143","143","143"
"14499","0.12605926394462585","0.12605926394462585","0.12605926394462585","144","144","144"
"14599","0.12293112277984619","0.12293112277984619","0.12293112277984619","145","145","145"
"14699","0.1309347301721573","0.1309347301721573","0.1309347301721573","146","146","146"
"14799","0.1233106404542923","0.1233106404542923","0.1233106404542923","147","147","147"
"14899","0.11823408305644989","0.11823408305644989","0.11823408305644989","148","148","148"
"14999","0.1230442225933075","0.1230442225933075","0.1230442225933075","149","149","149"
"15099","0.12729330360889435","0.12729330360889435","0.12729330360889435","150","150","150"
"15199","0.12566404044628143","0.12566404044628143","0.12566404044628143","151","151","151"
"15299","0.12748251855373383","0.12748251855373383","0.12748251855373383","152","152","152"
"15399","0.12479471415281296","0.12479471415281296","0.12479471415281296","153","153","153"
"15499","0.12755556404590607","0.12755556404590607","0.12755556404590607","154","154","154"
"15599","0.1268678605556488","0.1268678605556488","0.1268678605556488","155","155","155"
"15699","0.12069957703351974","0.12069957703351974","0.12069957703351974","156","156","156"
"15799","0.12212462723255157","0.12212462723255157","0.12212462723255157","157","157","157"
"15899","0.12814681231975555","0.12814681231975555","0.12814681231975555","158","158","158"
"15999","0.12380906939506531","0.12380906939506531","0.12380906939506531","159","159","159"
"16099","0.12425608187913895","0.12425608187913895","0.12425608187913895","160","160","160"
"16199","0.12049388885498047","0.12049388885498047","0.12049388885498047","161","161","161"
"16299","0.1255154013633728","0.1255154013633728","0.1255154013633728","162","162","162"
"16399","0.13034288585186005","0.13034288585186005","0.13034288585186005","163","163","163"
"16499","0.12274925410747528","0.12274925410747528","0.12274925410747528","164","164","164"
"16599","0.12084558606147766","0.12084558606147766","0.12084558606147766","165","165","165"
"16699","0.1275991052389145","0.1275991052389145","0.1275991052389145","166","166","166"
"16799","0.12200631201267242","0.12200631201267242","0.12200631201267242","167","167","167"
"16899","0.1241583526134491","0.1241583526134491","0.1241583526134491","168","168","168"
"16999","0.12657339870929718","0.12657339870929718","0.12657339870929718","169","169","169"
"17099","0.1258792132139206","0.1258792132139206","0.1258792132139206","170","170","170"
"17199","0.12456957250833511","0.12456957250833511","0.12456957250833511","171","171","171"
"17299","0.12165308743715286","0.12165308743715286","0.12165308743715286","172","172","172"
"17399","0.13154147565364838","0.13154147565364838","0.13154147565364838","173","173","173"
"17499","0.12807466089725494","0.12807466089725494","0.12807466089725494","174","174","174"
"17599","0.11811818927526474","0.11811818927526474","0.11811818927526474","175","175","175"
"17699","0.12200310826301575","0.12200310826301575","0.12200310826301575","176","176","176"
"17799","0.12233369052410126","0.12233369052410126","0.12233369052410126","177","177","177"
"17899","0.11946984380483627","0.11946984380483627","0.11946984380483627","178","178","178"
"17999","0.12893320620059967","0.12893320620059967","0.12893320620059967","179","179","179"
"18099","0.12406717985868454","0.12406717985868454","0.12406717985868454","180","180","180"
"18199","0.12159478664398193","0.12159478664398193","0.12159478664398193","181","181","181"
"18299","0.12186113744974136","0.12186113744974136","0.12186113744974136","182","182","182"
"18399","0.12457560002803802","0.12457560002803802","0.12457560002803802","183","183","183"
"18499","0.12410895526409149","0.12410895526409149","0.12410895526409149","184","184","184"
"18599","0.12281858175992966","0.12281858175992966","0.12281858175992966","185","185","185"
"18699","0.12234476208686829","0.12234476208686829","0.12234476208686829","186","186","186"
"18799","0.11972124874591827","0.11972124874591827","0.11972124874591827","187","187","187"
"18899","0.12134305387735367","0.12134305387735367","0.12134305387735367","188","188","188"
"18999","0.12197217345237732","0.12197217345237732","0.12197217345237732","189","189","189"
"19099","0.1251051276922226","0.1251051276922226","0.1251051276922226","190","190","190"
"19199","0.11562202870845795","0.11562202870845795","0.11562202870845795","191","191","191"
"19299","0.12234414368867874","0.12234414368867874","0.12234414368867874","192","192","192"
"19399","0.12562498450279236","0.12562498450279236","0.12562498450279236","193","193","193"
"19499","0.12402745336294174","0.12402745336294174","0.12402745336294174","194","194","194"
"19599","0.12365340441465378","0.12365340441465378","0.12365340441465378","195","195","195"
"19699","0.11863744258880615","0.11863744258880615","0.11863744258880615","196","196","196"
"19799","0.12406549602746964","0.12406549602746964","0.12406549602746964","197","197","197"
"19899","0.1201557070016861","0.1201557070016861","0.1201557070016861","198","198","198"
"19999","0.12316969782114029","0.12316969782114029","0.12316969782114029","199","199","199"
"20099","0.12267450988292694","0.12267450988292694","0.12267450988292694","200","200","200"
"20199","0.12008276581764221","0.12008276581764221","0.12008276581764221","201","201","201"
"20299","0.1300930678844452","0.1300930678844452","0.1300930678844452","202","202","202"
"20399","0.12553483247756958","0.12553483247756958","0.12553483247756958","203","203","203"
"20499","0.11795977503061295","0.11795977503061295","0.11795977503061295","204","204","204"
"20599","0.12756912410259247","0.12756912410259247","0.12756912410259247","205","205","205"
"20699","0.11922594159841537","0.11922594159841537","0.11922594159841537","206","206","206"
"20799","0.12351343780755997","0.12351343780755997","0.12351343780755997","207","207","207"
"20899","0.12167632579803467","0.12167632579803467","0.12167632579803467","208","208","208"
"20999","0.12491077184677124","0.12491077184677124","0.12491077184677124","209","209","209"
"21099","0.1238880306482315","0.1238880306482315","0.1238880306482315","210","210","210"
"21199","0.12188387662172318","0.12188387662172318","0.12188387662172318","211","211","211"
"21299","0.12417016923427582","0.12417016923427582","0.12417016923427582","212","212","212"
"21399","0.11945857852697372","0.11945857852697372","0.11945857852697372","213","213","213"
"21499","0.12287439405918121","0.12287439405918121","0.12287439405918121","214","214","214"
"21599","0.12487716972827911","0.12487716972827911","0.12487716972827911","215","215","215"
"21699","0.12377344071865082","0.12377344071865082","0.12377344071865082","216","216","216"
"21799","0.12599225342273712","0.12599225342273712","0.12599225342273712","217","217","217"
"21899","0.12143560498952866","0.12143560498952866","0.12143560498952866","218","218","218"
"21999","0.11887186020612717","0.11887186020612717","0.11887186020612717","219","219","219"
"22099","0.1344464123249054","0.1344464123249054","0.1344464123249054","220","220","220"
"22199","0.12106642127037048","0.12106642127037048","0.12106642127037048","221","221","221"
"22299","0.11426687985658646","0.11426687985658646","0.11426687985658646","222","222","222"
"22399","0.12335532903671265","0.12335532903671265","0.12335532903671265","223","223","223"
"22499","0.1238401010632515","0.1238401010632515","0.1238401010632515","224","224","224"
"22599","0.12493013590574265","0.12493013590574265","0.12493013590574265","225","225","225"
"22699","0.12027130275964737","0.12027130275964737","0.12027130275964737","226","226","226"
"22799","0.12227841466665268","0.12227841466665268","0.12227841466665268","227","227","227"
"22899","0.11910403519868851","0.11910403519868851","0.11910403519868851","228","228","228"
"22999","0.11920714378356934","0.11920714378356934","0.11920714378356934","229","229","229"
"23099","0.12470796704292297","0.12470796704292297","0.12470796704292297","230","230","230"
"23199","0.11795318126678467","0.11795318126678467","0.11795318126678467","231","231","231"
"23299","0.1178223118185997","0.1178223118185997","0.1178223118185997","232","232","232"
"23399","0.11627943813800812","0.11627943813800812","0.11627943813800812","233","233","233"
"23499","0.12420571595430374","0.12420571595430374","0.12420571595430374","234","234","234"
"23599","0.12482661753892899","0.12482661753892899","0.12482661753892899","235","235","235"
"23699","0.12134639173746109","0.12134639173746109","0.12134639173746109","236","236","236"
"23799","0.12156102061271667","0.12156102061271667","0.12156102061271667","237","237","237"
"23899","0.11876081675291061","0.11876081675291061","0.11876081675291061","238","238","238"
"23999","0.12419227510690689","0.12419227510690689","0.12419227510690689","239","239","239"
"24099","0.11509077250957489","0.11509077250957489","0.11509077250957489","240","240","240"
"24199","0.1262153536081314","0.1262153536081314","0.1262153536081314","241","241","241"
"24299","0.12344901263713837","0.12344901263713837","0.12344901263713837","242","242","242"
"24399","0.12227028608322144","0.12227028608322144","0.12227028608322144","243","243","243"
"24499","0.1253601461648941","0.1253601461648941","0.1253601461648941","244","244","244"
"24599","0.12077754735946655","0.12077754735946655","0.12077754735946655","245","245","245"
"24699","0.12514954805374146","0.12514954805374146","0.12514954805374146","246","246","246"
