"trainer/global_step","causal_small - train_loss","causal_small - train_loss__MIN","causal_small - train_loss__MAX","causal_small - _step","causal_small - _step__MIN","causal_small - _step__MAX"
"9599","0.1512986570596695","0.1512986570596695","0.1512986570596695","95","95","95"
"9699","0.14948411285877228","0.14948411285877228","0.14948411285877228","96","96","96"
"9799","0.1488785743713379","0.1488785743713379","0.1488785743713379","97","97","97"
"9899","0.14911320805549622","0.14911320805549622","0.14911320805549622","98","98","98"
"9999","0.1496022790670395","0.1496022790670395","0.1496022790670395","99","99","99"
"10099","0.14958401024341583","0.14958401024341583","0.14958401024341583","100","100","100"
"10199","0.14716757833957672","0.14716757833957672","0.14716757833957672","101","101","101"
"10299","0.14560911059379578","0.14560911059379578","0.14560911059379578","102","102","102"
"10399","0.15210893750190735","0.15210893750190735","0.15210893750190735","103","103","103"
"10499","0.1496332734823227","0.1496332734823227","0.1496332734823227","104","104","104"
"10599","0.14788126945495605","0.14788126945495605","0.14788126945495605","105","105","105"
"10699","0.14971977472305298","0.14971977472305298","0.14971977472305298","106","106","106"
"10799","0.15102025866508484","0.15102025866508484","0.15102025866508484","107","107","107"
"10899","0.1510891318321228","0.1510891318321228","0.1510891318321228","108","108","108"
"10999","0.14741569757461548","0.14741569757461548","0.14741569757461548","109","109","109"
"11099","0.1499350666999817","0.1499350666999817","0.1499350666999817","110","110","110"
"11199","0.14915315806865692","0.14915315806865692","0.14915315806865692","111","111","111"
"11299","0.1480197012424469","0.1480197012424469","0.1480197012424469","112","112","112"
"11399","0.15545767545700073","0.15545767545700073","0.15545767545700073","113","113","113"
"11499","0.14600741863250732","0.14600741863250732","0.14600741863250732","114","114","114"
"11599","0.147664412856102","0.147664412856102","0.147664412856102","115","115","115"
"11699","0.1490907520055771","0.1490907520055771","0.1490907520055771","116","116","116"
"11799","0.1533258855342865","0.1533258855342865","0.1533258855342865","117","117","117"
"11899","0.15048858523368835","0.15048858523368835","0.15048858523368835","118","118","118"
"11999","0.15211418271064758","0.15211418271064758","0.15211418271064758","119","119","119"
"12099","0.1467771828174591","0.1467771828174591","0.1467771828174591","120","120","120"
"12199","0.14587199687957764","0.14587199687957764","0.14587199687957764","121","121","121"
"12299","0.1448964923620224","0.1448964923620224","0.1448964923620224","122","122","122"
"12399","0.147571861743927","0.147571861743927","0.147571861743927","123","123","123"
"12499","0.1479455679655075","0.1479455679655075","0.1479455679655075","124","124","124"
"12599","0.14874345064163208","0.14874345064163208","0.14874345064163208","125","125","125"
"12699","0.1440424919128418","0.1440424919128418","0.1440424919128418","126","126","126"
"12799","0.15318138897418976","0.15318138897418976","0.15318138897418976","127","127","127"
"12899","0.14701753854751587","0.14701753854751587","0.14701753854751587","128","128","128"
"12999","0.146236851811409","0.146236851811409","0.146236851811409","129","129","129"
"13099","0.14713609218597412","0.14713609218597412","0.14713609218597412","130","130","130"
"13199","0.15020352602005005","0.15020352602005005","0.15020352602005005","131","131","131"
"13299","0.14529287815093994","0.14529287815093994","0.14529287815093994","132","132","132"
"13399","0.14949704706668854","0.14949704706668854","0.14949704706668854","133","133","133"
"13499","0.14653590321540833","0.14653590321540833","0.14653590321540833","134","134","134"
"13599","0.14734594523906708","0.14734594523906708","0.14734594523906708","135","135","135"
"13699","0.14702244102954865","0.14702244102954865","0.14702244102954865","136","136","136"
"13799","0.15206699073314667","0.15206699073314667","0.15206699073314667","137","137","137"
"13899","0.1451442688703537","0.1451442688703537","0.1451442688703537","138","138","138"
"13999","0.14380154013633728","0.14380154013633728","0.14380154013633728","139","139","139"
"14099","0.1427777111530304","0.1427777111530304","0.1427777111530304","140","140","140"
"14199","0.14701539278030396","0.14701539278030396","0.14701539278030396","141","141","141"
"14299","0.1513015478849411","0.1513015478849411","0.1513015478849411","142","142","142"
"14399","0.1363275945186615","0.1363275945186615","0.1363275945186615","143","143","143"
"14499","0.14700275659561157","0.14700275659561157","0.14700275659561157","144","144","144"
"14599","0.14604918658733368","0.14604918658733368","0.14604918658733368","145","145","145"
"14699","0.1520821899175644","0.1520821899175644","0.1520821899175644","146","146","146"
"14799","0.14302082359790802","0.14302082359790802","0.14302082359790802","147","147","147"
"14899","0.13969926536083221","0.13969926536083221","0.13969926536083221","148","148","148"
"14999","0.142506942152977","0.142506942152977","0.142506942152977","149","149","149"
"15099","0.14811253547668457","0.14811253547668457","0.14811253547668457","150","150","150"
"15199","0.14606605470180511","0.14606605470180511","0.14606605470180511","151","151","151"
"15299","0.14731724560260773","0.14731724560260773","0.14731724560260773","152","152","152"
"15399","0.14300131797790527","0.14300131797790527","0.14300131797790527","153","153","153"
"15499","0.14655275642871857","0.14655275642871857","0.14655275642871857","154","154","154"
"15599","0.14607934653759003","0.14607934653759003","0.14607934653759003","155","155","155"
"15699","0.1428745537996292","0.1428745537996292","0.1428745537996292","156","156","156"
"15799","0.14267025887966156","0.14267025887966156","0.14267025887966156","157","157","157"
