"trainer/global_step","vanilla - train_loss","vanilla - train_loss__MIN","vanilla - train_loss__MAX","vanilla - _step","vanilla - _step__MIN","vanilla - _step__MAX"
"32399","0.12728530168533325","0.12728530168533325","0.12728530168533325","323","323","323"
"32499","0.1213933601975441","0.1213933601975441","0.1213933601975441","324","324","324"
"32599","0.11733902245759964","0.11733902245759964","0.11733902245759964","325","325","325"
"32699","0.12718209624290466","0.12718209624290466","0.12718209624290466","326","326","326"
"32799","0.12275343388319016","0.12275343388319016","0.12275343388319016","327","327","327"
"32899","0.12578900158405304","0.12578900158405304","0.12578900158405304","328","328","328"
"32999","0.116310253739357","0.116310253739357","0.116310253739357","329","329","329"
"33099","0.12263628095388412","0.12263628095388412","0.12263628095388412","330","330","330"
"33199","0.12059353291988373","0.12059353291988373","0.12059353291988373","331","331","331"
"33299","0.11875223368406296","0.11875223368406296","0.11875223368406296","332","332","332"
"33399","0.11675645411014557","0.11675645411014557","0.11675645411014557","333","333","333"
"33499","0.12168940156698227","0.12168940156698227","0.12168940156698227","334","334","334"
"33599","0.12096191942691803","0.12096191942691803","0.12096191942691803","335","335","335"
"33699","0.12625321745872498","0.12625321745872498","0.12625321745872498","336","336","336"
"33799","0.11971336603164673","0.11971336603164673","0.11971336603164673","337","337","337"
"33899","0.1198955625295639","0.1198955625295639","0.1198955625295639","338","338","338"
"33999","0.12185551226139069","0.12185551226139069","0.12185551226139069","339","339","339"
"34099","0.12461762875318527","0.12461762875318527","0.12461762875318527","340","340","340"
"34199","0.12373463809490204","0.12373463809490204","0.12373463809490204","341","341","341"
"34299","0.12150267511606216","0.12150267511606216","0.12150267511606216","342","342","342"
"34399","0.12112981826066971","0.12112981826066971","0.12112981826066971","343","343","343"
"34499","0.11917484551668167","0.11917484551668167","0.11917484551668167","344","344","344"
"34599","0.12247543781995773","0.12247543781995773","0.12247543781995773","345","345","345"
"34699","0.12427917122840881","0.12427917122840881","0.12427917122840881","346","346","346"
"34799","0.11591766029596329","0.11591766029596329","0.11591766029596329","347","347","347"
"34899","0.11886616051197052","0.11886616051197052","0.11886616051197052","348","348","348"
"34999","0.11927872151136398","0.11927872151136398","0.11927872151136398","349","349","349"
"35099","0.11930552870035172","0.11930552870035172","0.11930552870035172","350","350","350"
"35199","0.12022804468870163","0.12022804468870163","0.12022804468870163","351","351","351"
"35299","0.1269751340150833","0.1269751340150833","0.1269751340150833","352","352","352"
"35399","0.11914145946502686","0.11914145946502686","0.11914145946502686","353","353","353"
"35499","0.11978119611740112","0.11978119611740112","0.11978119611740112","354","354","354"
"35599","0.12392660975456238","0.12392660975456238","0.12392660975456238","355","355","355"
"35699","0.12220361828804016","0.12220361828804016","0.12220361828804016","356","356","356"
"35799","0.11931708455085754","0.11931708455085754","0.11931708455085754","357","357","357"
"35899","0.1143094003200531","0.1143094003200531","0.1143094003200531","358","358","358"
"35999","0.1214265450835228","0.1214265450835228","0.1214265450835228","359","359","359"
"36099","0.12125255912542343","0.12125255912542343","0.12125255912542343","360","360","360"
"36199","0.12056182324886322","0.12056182324886322","0.12056182324886322","361","361","361"
"36299","0.126637801527977","0.126637801527977","0.126637801527977","362","362","362"
