"trainer/global_step","prefix4sinh - train_loss","prefix4sinh - train_loss__MIN","prefix4sinh - train_loss__MAX","prefix4sinh - _step","prefix4sinh - _step__MIN","prefix4sinh - _step__MAX"
"23299","0.1501021534204483","0.1501021534204483","0.1501021534204483","232","232","232"
"23399","0.14813902974128723","0.14813902974128723","0.14813902974128723","233","233","233"
"23499","0.142913818359375","0.142913818359375","0.142913818359375","234","234","234"
"23599","0.13992153108119965","0.13992153108119965","0.13992153108119965","235","235","235"
"23699","0.14267569780349731","0.14267569780349731","0.14267569780349731","236","236","236"
"23799","0.14311890304088593","0.14311890304088593","0.14311890304088593","237","237","237"
"23899","0.1422869712114334","0.1422869712114334","0.1422869712114334","238","238","238"
"23999","0.1466081142425537","0.1466081142425537","0.1466081142425537","239","239","239"
"24099","0.1437012255191803","0.1437012255191803","0.1437012255191803","240","240","240"
"24199","0.13515456020832062","0.13515456020832062","0.13515456020832062","241","241","241"
"24299","0.14305691421031952","0.14305691421031952","0.14305691421031952","242","242","242"
"24399","0.13441182672977448","0.13441182672977448","0.13441182672977448","243","243","243"
"24499","0.1377955675125122","0.1377955675125122","0.1377955675125122","244","244","244"
"24599","0.13294419646263123","0.13294419646263123","0.13294419646263123","245","245","245"
"24699","0.1338750422000885","0.1338750422000885","0.1338750422000885","246","246","246"
"24799","0.14240914583206177","0.14240914583206177","0.14240914583206177","247","247","247"
"24899","0.14296263456344604","0.14296263456344604","0.14296263456344604","248","248","248"
"24999","0.1423017829656601","0.1423017829656601","0.1423017829656601","249","249","249"
"25099","0.14337880909442902","0.14337880909442902","0.14337880909442902","250","250","250"
"25199","0.1361977905035019","0.1361977905035019","0.1361977905035019","251","251","251"
"25299","0.13925038278102875","0.13925038278102875","0.13925038278102875","252","252","252"
"25399","0.1391502320766449","0.1391502320766449","0.1391502320766449","253","253","253"
"25499","0.1367495357990265","0.1367495357990265","0.1367495357990265","254","254","254"
"25599","0.13406488299369812","0.13406488299369812","0.13406488299369812","255","255","255"
"25699","0.14680013060569763","0.14680013060569763","0.14680013060569763","256","256","256"
"25799","0.13175536692142487","0.13175536692142487","0.13175536692142487","257","257","257"
"25899","0.13881470263004303","0.13881470263004303","0.13881470263004303","258","258","258"
"25999","0.13956084847450256","0.13956084847450256","0.13956084847450256","259","259","259"
"26099","0.1405867338180542","0.1405867338180542","0.1405867338180542","260","260","260"
"26199","0.1381801813840866","0.1381801813840866","0.1381801813840866","261","261","261"
"26299","0.13741587102413177","0.13741587102413177","0.13741587102413177","262","262","262"
"26399","0.13296380639076233","0.13296380639076233","0.13296380639076233","263","263","263"
"26499","0.13613660633563995","0.13613660633563995","0.13613660633563995","264","264","264"
"26599","0.1370464563369751","0.1370464563369751","0.1370464563369751","265","265","265"
"26699","0.14096878468990326","0.14096878468990326","0.14096878468990326","266","266","266"
"26799","0.1390889436006546","0.1390889436006546","0.1390889436006546","267","267","267"
"26899","0.1407432109117508","0.1407432109117508","0.1407432109117508","268","268","268"
"26999","0.1354219913482666","0.1354219913482666","0.1354219913482666","269","269","269"
"27099","0.13896198570728302","0.13896198570728302","0.13896198570728302","270","270","270"
"27199","0.1421741545200348","0.1421741545200348","0.1421741545200348","271","271","271"
"27299","0.13763739168643951","0.13763739168643951","0.13763739168643951","272","272","272"
"27399","0.13189946115016937","0.13189946115016937","0.13189946115016937","273","273","273"
"27499","0.1351546198129654","0.1351546198129654","0.1351546198129654","274","274","274"
"27599","0.13891632854938507","0.13891632854938507","0.13891632854938507","275","275","275"
"27699","0.1358759105205536","0.1358759105205536","0.1358759105205536","276","276","276"
"27799","0.13660171627998352","0.13660171627998352","0.13660171627998352","277","277","277"
"27899","0.13664373755455017","0.13664373755455017","0.13664373755455017","278","278","278"
"27999","0.13491016626358032","0.13491016626358032","0.13491016626358032","279","279","279"
"28099","0.13714361190795898","0.13714361190795898","0.13714361190795898","280","280","280"
"28199","0.13649983704090118","0.13649983704090118","0.13649983704090118","281","281","281"
"28299","0.13733896613121033","0.13733896613121033","0.13733896613121033","282","282","282"
"28399","0.1351199746131897","0.1351199746131897","0.1351199746131897","283","283","283"
"28499","0.13566693663597107","0.13566693663597107","0.13566693663597107","284","284","284"
"28599","0.12823644280433655","0.12823644280433655","0.12823644280433655","285","285","285"
"28699","0.13887923955917358","0.13887923955917358","0.13887923955917358","286","286","286"
"28799","0.13560262322425842","0.13560262322425842","0.13560262322425842","287","287","287"
"28899","0.13551272451877594","0.13551272451877594","0.13551272451877594","288","288","288"
"28999","0.13461363315582275","0.13461363315582275","0.13461363315582275","289","289","289"
"29099","0.1374242901802063","0.1374242901802063","0.1374242901802063","290","290","290"
"29199","0.13924847543239594","0.13924847543239594","0.13924847543239594","291","291","291"
"29299","0.13841654360294342","0.13841654360294342","0.13841654360294342","292","292","292"
"29399","0.1349494457244873","0.1349494457244873","0.1349494457244873","293","293","293"
"29499","0.1368623971939087","0.1368623971939087","0.1368623971939087","294","294","294"
"29599","0.12863731384277344","0.12863731384277344","0.12863731384277344","295","295","295"
"29699","0.1370130479335785","0.1370130479335785","0.1370130479335785","296","296","296"
"29799","0.13477195799350739","0.13477195799350739","0.13477195799350739","297","297","297"
