"trainer/global_step","causal - train_loss","causal - train_loss__MIN","causal - train_loss__MAX","causal - _step","causal - _step__MIN","causal - _step__MAX"
"13099","0.13897758722305298","0.13897758722305298","0.13897758722305298","130","130","130"
"13199","0.13900884985923767","0.13900884985923767","0.13900884985923767","131","131","131"
"13299","0.1389227658510208","0.1389227658510208","0.1389227658510208","132","132","132"
"13399","0.13951662182807922","0.13951662182807922","0.13951662182807922","133","133","133"
"13499","0.13978013396263123","0.13978013396263123","0.13978013396263123","134","134","134"
"13599","0.14123499393463135","0.14123499393463135","0.14123499393463135","135","135","135"
"13699","0.13773691654205322","0.13773691654205322","0.13773691654205322","136","136","136"
"13799","0.14083361625671387","0.14083361625671387","0.14083361625671387","137","137","137"
"13899","0.13441166281700134","0.13441166281700134","0.13441166281700134","138","138","138"
"13999","0.13872265815734863","0.13872265815734863","0.13872265815734863","139","139","139"
"14099","0.13915976881980896","0.13915976881980896","0.13915976881980896","140","140","140"
"14199","0.14331771433353424","0.14331771433353424","0.14331771433353424","141","141","141"
"14299","0.13696084916591644","0.13696084916591644","0.13696084916591644","142","142","142"
"14399","0.14042608439922333","0.14042608439922333","0.14042608439922333","143","143","143"
"14499","0.1371411234140396","0.1371411234140396","0.1371411234140396","144","144","144"
"14599","0.137096107006073","0.137096107006073","0.137096107006073","145","145","145"
"14699","0.13880863785743713","0.13880863785743713","0.13880863785743713","146","146","146"
"14799","0.14159154891967773","0.14159154891967773","0.14159154891967773","147","147","147"
"14899","0.14138171076774597","0.14138171076774597","0.14138171076774597","148","148","148"
"14999","0.13680781424045563","0.13680781424045563","0.13680781424045563","149","149","149"
"15099","0.13542388379573822","0.13542388379573822","0.13542388379573822","150","150","150"
"15199","0.14117057621479034","0.14117057621479034","0.14117057621479034","151","151","151"
"15299","0.13267046213150024","0.13267046213150024","0.13267046213150024","152","152","152"
"15399","0.13466776907444","0.13466776907444","0.13466776907444","153","153","153"
"15499","0.1383136808872223","0.1383136808872223","0.1383136808872223","154","154","154"
"15599","0.13740530610084534","0.13740530610084534","0.13740530610084534","155","155","155"
"15699","0.14591221511363983","0.14591221511363983","0.14591221511363983","156","156","156"
"15799","0.1428029090166092","0.1428029090166092","0.1428029090166092","157","157","157"
"15899","0.14121143519878387","0.14121143519878387","0.14121143519878387","158","158","158"
"15999","0.13503041863441467","0.13503041863441467","0.13503041863441467","159","159","159"
"16099","0.13549742102622986","0.13549742102622986","0.13549742102622986","160","160","160"
"16199","0.1382330060005188","0.1382330060005188","0.1382330060005188","161","161","161"
"16299","0.1349043995141983","0.1349043995141983","0.1349043995141983","162","162","162"
"16399","0.1374979019165039","0.1374979019165039","0.1374979019165039","163","163","163"
"16499","0.1351235806941986","0.1351235806941986","0.1351235806941986","164","164","164"
"16599","0.14247746765613556","0.14247746765613556","0.14247746765613556","165","165","165"
"16699","0.13611628115177155","0.13611628115177155","0.13611628115177155","166","166","166"
