"trainer/global_step","causalsinh - train_loss","causalsinh - train_loss__MIN","causalsinh - train_loss__MAX","causalsinh - _step","causalsinh - _step__MIN","causalsinh - _step__MAX"
"18899","0.14116720855236053","0.14116720855236053","0.14116720855236053","188","188","188"
"18999","0.13614578545093536","0.13614578545093536","0.13614578545093536","189","189","189"
"19099","0.1341024935245514","0.1341024935245514","0.1341024935245514","190","190","190"
"19199","0.13805876672267914","0.13805876672267914","0.13805876672267914","191","191","191"
"19299","0.1346379518508911","0.1346379518508911","0.1346379518508911","192","192","192"
"19399","0.13592763245105743","0.13592763245105743","0.13592763245105743","193","193","193"
"19499","0.13544170558452606","0.13544170558452606","0.13544170558452606","194","194","194"
"19599","0.14081993699073792","0.14081993699073792","0.14081993699073792","195","195","195"
"19699","0.13521425426006317","0.13521425426006317","0.13521425426006317","196","196","196"
"19799","0.13788428902626038","0.13788428902626038","0.13788428902626038","197","197","197"
"19899","0.1404941827058792","0.1404941827058792","0.1404941827058792","198","198","198"
"19999","0.13558854162693024","0.13558854162693024","0.13558854162693024","199","199","199"
"20099","0.13585911691188812","0.13585911691188812","0.13585911691188812","200","200","200"
"20199","0.13885240256786346","0.13885240256786346","0.13885240256786346","201","201","201"
"20299","0.13562169671058655","0.13562169671058655","0.13562169671058655","202","202","202"
"20399","0.1329033374786377","0.1329033374786377","0.1329033374786377","203","203","203"
"20499","0.13815510272979736","0.13815510272979736","0.13815510272979736","204","204","204"
"20599","0.14168474078178406","0.14168474078178406","0.14168474078178406","205","205","205"
"20699","0.142147034406662","0.142147034406662","0.142147034406662","206","206","206"
"20799","0.13731679320335388","0.13731679320335388","0.13731679320335388","207","207","207"
"20899","0.13282209634780884","0.13282209634780884","0.13282209634780884","208","208","208"
"20999","0.13734044134616852","0.13734044134616852","0.13734044134616852","209","209","209"
"21099","0.13987067341804504","0.13987067341804504","0.13987067341804504","210","210","210"
"21199","0.1331150233745575","0.1331150233745575","0.1331150233745575","211","211","211"
"21299","0.1395193636417389","0.1395193636417389","0.1395193636417389","212","212","212"
"21399","0.1367558389902115","0.1367558389902115","0.1367558389902115","213","213","213"
"21499","0.13497306406497955","0.13497306406497955","0.13497306406497955","214","214","214"
"21599","0.13527770340442657","0.13527770340442657","0.13527770340442657","215","215","215"
"21699","0.13789178431034088","0.13789178431034088","0.13789178431034088","216","216","216"
"21799","0.1424141824245453","0.1424141824245453","0.1424141824245453","217","217","217"
"21899","0.1388138085603714","0.1388138085603714","0.1388138085603714","218","218","218"
"21999","0.13737638294696808","0.13737638294696808","0.13737638294696808","219","219","219"
"22099","0.13408483564853668","0.13408483564853668","0.13408483564853668","220","220","220"
"22199","0.12791703641414642","0.12791703641414642","0.12791703641414642","221","221","221"
"22299","0.1379038691520691","0.1379038691520691","0.1379038691520691","222","222","222"
"22399","0.13352088630199432","0.13352088630199432","0.13352088630199432","223","223","223"
"22499","0.13591645658016205","0.13591645658016205","0.13591645658016205","224","224","224"
"22599","0.14022420346736908","0.14022420346736908","0.14022420346736908","225","225","225"
"22699","0.13678516447544098","0.13678516447544098","0.13678516447544098","226","226","226"
"22799","0.13555867969989777","0.13555867969989777","0.13555867969989777","227","227","227"
"22899","0.13471516966819763","0.13471516966819763","0.13471516966819763","228","228","228"
"22999","0.13427047431468964","0.13427047431468964","0.13427047431468964","229","229","229"
"23099","0.1327233612537384","0.1327233612537384","0.1327233612537384","230","230","230"
"23199","0.1335218846797943","0.1335218846797943","0.1335218846797943","231","231","231"
"23299","0.143006831407547","0.143006831407547","0.143006831407547","232","232","232"
"23399","0.14139534533023834","0.14139534533023834","0.14139534533023834","233","233","233"
"23499","0.13745398819446564","0.13745398819446564","0.13745398819446564","234","234","234"
"23599","0.1325129270553589","0.1325129270553589","0.1325129270553589","235","235","235"
"23699","0.13485988974571228","0.13485988974571228","0.13485988974571228","236","236","236"
"23799","0.13742130994796753","0.13742130994796753","0.13742130994796753","237","237","237"
"23899","0.13693100214004517","0.13693100214004517","0.13693100214004517","238","238","238"
"23999","0.14089657366275787","0.14089657366275787","0.14089657366275787","239","239","239"
"24099","0.13678498566150665","0.13678498566150665","0.13678498566150665","240","240","240"
"24199","0.12922346591949463","0.12922346591949463","0.12922346591949463","241","241","241"
"24299","0.13482198119163513","0.13482198119163513","0.13482198119163513","242","242","242"
"24399","0.12958863377571106","0.12958863377571106","0.12958863377571106","243","243","243"
"24499","0.13245311379432678","0.13245311379432678","0.13245311379432678","244","244","244"
"24599","0.12835317850112915","0.12835317850112915","0.12835317850112915","245","245","245"
"24699","0.1296691745519638","0.1296691745519638","0.1296691745519638","246","246","246"
"24799","0.13681751489639282","0.13681751489639282","0.13681751489639282","247","247","247"
"24899","0.13680464029312134","0.13680464029312134","0.13680464029312134","248","248","248"
"24999","0.13742320239543915","0.13742320239543915","0.13742320239543915","249","249","249"
"25099","0.1375596672296524","0.1375596672296524","0.1375596672296524","250","250","250"
"25199","0.13243670761585236","0.13243670761585236","0.13243670761585236","251","251","251"
"25299","0.13527953624725342","0.13527953624725342","0.13527953624725342","252","252","252"
"25399","0.1364164650440216","0.1364164650440216","0.1364164650440216","253","253","253"
"25499","0.1322624534368515","0.1322624534368515","0.1322624534368515","254","254","254"
"25599","0.12804870307445526","0.12804870307445526","0.12804870307445526","255","255","255"
"25699","0.14469917118549347","0.14469917118549347","0.14469917118549347","256","256","256"
"25799","0.12861286103725433","0.12861286103725433","0.12861286103725433","257","257","257"
"25899","0.1351594775915146","0.1351594775915146","0.1351594775915146","258","258","258"
"25999","0.13641668856143951","0.13641668856143951","0.13641668856143951","259","259","259"
"26099","0.1382763534784317","0.1382763534784317","0.1382763534784317","260","260","260"
"26199","0.13524964451789856","0.13524964451789856","0.13524964451789856","261","261","261"
"26299","0.13461029529571533","0.13461029529571533","0.13461029529571533","262","262","262"
"26399","0.1306368112564087","0.1306368112564087","0.1306368112564087","263","263","263"
"26499","0.1333608627319336","0.1333608627319336","0.1333608627319336","264","264","264"
"26599","0.13393712043762207","0.13393712043762207","0.13393712043762207","265","265","265"
"26699","0.13895905017852783","0.13895905017852783","0.13895905017852783","266","266","266"
"26799","0.13515381515026093","0.13515381515026093","0.13515381515026093","267","267","267"
"26899","0.13770513236522675","0.13770513236522675","0.13770513236522675","268","268","268"
"26999","0.13180024921894073","0.13180024921894073","0.13180024921894073","269","269","269"
"27099","0.13642029464244843","0.13642029464244843","0.13642029464244843","270","270","270"
"27199","0.13940151035785675","0.13940151035785675","0.13940151035785675","271","271","271"
"27299","0.13351042568683624","0.13351042568683624","0.13351042568683624","272","272","272"
"27399","0.1288977563381195","0.1288977563381195","0.1288977563381195","273","273","273"
"27499","0.13241460919380188","0.13241460919380188","0.13241460919380188","274","274","274"
"27599","0.1367368996143341","0.1367368996143341","0.1367368996143341","275","275","275"
"27699","0.13357621431350708","0.13357621431350708","0.13357621431350708","276","276","276"
"27799","0.13373591005802155","0.13373591005802155","0.13373591005802155","277","277","277"
"27899","0.13432547450065613","0.13432547450065613","0.13432547450065613","278","278","278"
"27999","0.13267342746257782","0.13267342746257782","0.13267342746257782","279","279","279"
"28099","0.13449999690055847","0.13449999690055847","0.13449999690055847","280","280","280"
"28199","0.1337423324584961","0.1337423324584961","0.1337423324584961","281","281","281"
"28299","0.13373251259326935","0.13373251259326935","0.13373251259326935","282","282","282"
"28399","0.13059140741825104","0.13059140741825104","0.13059140741825104","283","283","283"
"28499","0.13355864584445953","0.13355864584445953","0.13355864584445953","284","284","284"
"28599","0.125737264752388","0.125737264752388","0.125737264752388","285","285","285"
"28699","0.1370447725057602","0.1370447725057602","0.1370447725057602","286","286","286"
"28799","0.13262072205543518","0.13262072205543518","0.13262072205543518","287","287","287"
"28899","0.13324692845344543","0.13324692845344543","0.13324692845344543","288","288","288"
"28999","0.1323891580104828","0.1323891580104828","0.1323891580104828","289","289","289"
"29099","0.1347235143184662","0.1347235143184662","0.1347235143184662","290","290","290"
"29199","0.1375955194234848","0.1375955194234848","0.1375955194234848","291","291","291"
