"trainer/global_step","causal_mid - train_loss","causal_mid - train_loss__MIN","causal_mid - train_loss__MAX","causal_mid - _step","causal_mid - _step__MIN","causal_mid - _step__MAX"
"12299","0.1456780582666397","0.1456780582666397","0.1456780582666397","122","122","122"
"12399","0.14854870736598969","0.14854870736598969","0.14854870736598969","123","123","123"
"12499","0.15023505687713623","0.15023505687713623","0.15023505687713623","124","124","124"
"12599","0.15089628100395203","0.15089628100395203","0.15089628100395203","125","125","125"
"12699","0.14762194454669952","0.14762194454669952","0.14762194454669952","126","126","126"
"12799","0.15109941363334656","0.15109941363334656","0.15109941363334656","127","127","127"
"12899","0.15669822692871094","0.15669822692871094","0.15669822692871094","128","128","128"
"12999","0.15241403877735138","0.15241403877735138","0.15241403877735138","129","129","129"
"13099","0.15148723125457764","0.15148723125457764","0.15148723125457764","130","130","130"
"13199","0.1490221470594406","0.1490221470594406","0.1490221470594406","131","131","131"
"13299","0.1528400480747223","0.1528400480747223","0.1528400480747223","132","132","132"
"13399","0.14532412588596344","0.14532412588596344","0.14532412588596344","133","133","133"
"13499","0.14641907811164856","0.14641907811164856","0.14641907811164856","134","134","134"
"13599","0.14791809022426605","0.14791809022426605","0.14791809022426605","135","135","135"
"13699","0.14561933279037476","0.14561933279037476","0.14561933279037476","136","136","136"
"13799","0.15131963789463043","0.15131963789463043","0.15131963789463043","137","137","137"
"13899","0.149370476603508","0.149370476603508","0.149370476603508","138","138","138"
"13999","0.1508779078722","0.1508779078722","0.1508779078722","139","139","139"
"14099","0.15232492983341217","0.15232492983341217","0.15232492983341217","140","140","140"
"14199","0.1492392122745514","0.1492392122745514","0.1492392122745514","141","141","141"
"14299","0.14743785560131073","0.14743785560131073","0.14743785560131073","142","142","142"
"14399","0.1463833898305893","0.1463833898305893","0.1463833898305893","143","143","143"
"14499","0.1444736272096634","0.1444736272096634","0.1444736272096634","144","144","144"
"14599","0.14640416204929352","0.14640416204929352","0.14640416204929352","145","145","145"
"14699","0.14802806079387665","0.14802806079387665","0.14802806079387665","146","146","146"
"14799","0.1488826423883438","0.1488826423883438","0.1488826423883438","147","147","147"
"14899","0.1455521434545517","0.1455521434545517","0.1455521434545517","148","148","148"
"14999","0.14607608318328857","0.14607608318328857","0.14607608318328857","149","149","149"
"15099","0.14806117117404938","0.14806117117404938","0.14806117117404938","150","150","150"
"15199","0.14618553221225739","0.14618553221225739","0.14618553221225739","151","151","151"
"15299","0.1505107879638672","0.1505107879638672","0.1505107879638672","152","152","152"
"15399","0.14737731218338013","0.14737731218338013","0.14737731218338013","153","153","153"
"15499","0.14926454424858093","0.14926454424858093","0.14926454424858093","154","154","154"
"15599","0.1423693746328354","0.1423693746328354","0.1423693746328354","155","155","155"
"15699","0.1409810483455658","0.1409810483455658","0.1409810483455658","156","156","156"
"15799","0.14615534245967865","0.14615534245967865","0.14615534245967865","157","157","157"
"15899","0.1443243771791458","0.1443243771791458","0.1443243771791458","158","158","158"
"15999","0.13894511759281158","0.13894511759281158","0.13894511759281158","159","159","159"
"16099","0.14881044626235962","0.14881044626235962","0.14881044626235962","160","160","160"
"16199","0.14420312643051147","0.14420312643051147","0.14420312643051147","161","161","161"
"16299","0.1452270895242691","0.1452270895242691","0.1452270895242691","162","162","162"
"16399","0.14422190189361572","0.14422190189361572","0.14422190189361572","163","163","163"
"16499","0.14642390608787537","0.14642390608787537","0.14642390608787537","164","164","164"
"16599","0.14882667362689972","0.14882667362689972","0.14882667362689972","165","165","165"
"16699","0.145743727684021","0.145743727684021","0.145743727684021","166","166","166"
"16799","0.14508874714374542","0.14508874714374542","0.14508874714374542","167","167","167"
"16899","0.14706480503082275","0.14706480503082275","0.14706480503082275","168","168","168"
"16999","0.1472754329442978","0.1472754329442978","0.1472754329442978","169","169","169"
"17099","0.14059820771217346","0.14059820771217346","0.14059820771217346","170","170","170"
"17199","0.15018126368522644","0.15018126368522644","0.15018126368522644","171","171","171"
"17299","0.15208256244659424","0.15208256244659424","0.15208256244659424","172","172","172"
"17399","0.14823710918426514","0.14823710918426514","0.14823710918426514","173","173","173"
"17499","0.1396150439977646","0.1396150439977646","0.1396150439977646","174","174","174"
"17599","0.15033382177352905","0.15033382177352905","0.15033382177352905","175","175","175"
"17699","0.14649547636508942","0.14649547636508942","0.14649547636508942","176","176","176"
"17799","0.14085540175437927","0.14085540175437927","0.14085540175437927","177","177","177"
"17899","0.14805364608764648","0.14805364608764648","0.14805364608764648","178","178","178"
"17999","0.1483002007007599","0.1483002007007599","0.1483002007007599","179","179","179"
"18099","0.14614468812942505","0.14614468812942505","0.14614468812942505","180","180","180"
"18199","0.14957201480865479","0.14957201480865479","0.14957201480865479","181","181","181"
"18299","0.14578336477279663","0.14578336477279663","0.14578336477279663","182","182","182"
"18399","0.1428920477628708","0.1428920477628708","0.1428920477628708","183","183","183"
"18499","0.140688955783844","0.140688955783844","0.140688955783844","184","184","184"
"18599","0.14391547441482544","0.14391547441482544","0.14391547441482544","185","185","185"
"18699","0.14708037674427032","0.14708037674427032","0.14708037674427032","186","186","186"
"18799","0.1441940814256668","0.1441940814256668","0.1441940814256668","187","187","187"
"18899","0.14322154223918915","0.14322154223918915","0.14322154223918915","188","188","188"
"18999","0.1485271453857422","0.1485271453857422","0.1485271453857422","189","189","189"
"19099","0.14868077635765076","0.14868077635765076","0.14868077635765076","190","190","190"
"19199","0.1361059695482254","0.1361059695482254","0.1361059695482254","191","191","191"
"19299","0.1479213535785675","0.1479213535785675","0.1479213535785675","192","192","192"
"19399","0.14389850199222565","0.14389850199222565","0.14389850199222565","193","193","193"
"19499","0.1432512253522873","0.1432512253522873","0.1432512253522873","194","194","194"
"19599","0.14450699090957642","0.14450699090957642","0.14450699090957642","195","195","195"
"19699","0.14633731544017792","0.14633731544017792","0.14633731544017792","196","196","196"
"19799","0.1496148258447647","0.1496148258447647","0.1496148258447647","197","197","197"
"19899","0.14373166859149933","0.14373166859149933","0.14373166859149933","198","198","198"
"19999","0.1491451859474182","0.1491451859474182","0.1491451859474182","199","199","199"
"20099","0.14526629447937012","0.14526629447937012","0.14526629447937012","200","200","200"
"20199","0.14175918698310852","0.14175918698310852","0.14175918698310852","201","201","201"
"20299","0.148361474275589","0.148361474275589","0.148361474275589","202","202","202"
"20399","0.14421552419662476","0.14421552419662476","0.14421552419662476","203","203","203"
"20499","0.14457130432128906","0.14457130432128906","0.14457130432128906","204","204","204"
"20599","0.15096642076969147","0.15096642076969147","0.15096642076969147","205","205","205"
"20699","0.1413482129573822","0.1413482129573822","0.1413482129573822","206","206","206"
"20799","0.14210093021392822","0.14210093021392822","0.14210093021392822","207","207","207"
"20899","0.14323386549949646","0.14323386549949646","0.14323386549949646","208","208","208"
"20999","0.13990260660648346","0.13990260660648346","0.13990260660648346","209","209","209"
"21099","0.14429906010627747","0.14429906010627747","0.14429906010627747","210","210","210"
"21199","0.1421659141778946","0.1421659141778946","0.1421659141778946","211","211","211"
"21299","0.14487123489379883","0.14487123489379883","0.14487123489379883","212","212","212"
"21399","0.14357607066631317","0.14357607066631317","0.14357607066631317","213","213","213"
"21499","0.1318158507347107","0.1318158507347107","0.1318158507347107","214","214","214"
"21599","0.14295966923236847","0.14295966923236847","0.14295966923236847","215","215","215"
"21699","0.14048011600971222","0.14048011600971222","0.14048011600971222","216","216","216"
"21799","0.13674296438694","0.13674296438694","0.13674296438694","217","217","217"
"21899","0.140955850481987","0.140955850481987","0.140955850481987","218","218","218"
"21999","0.1462288796901703","0.1462288796901703","0.1462288796901703","219","219","219"
"22099","0.14293411374092102","0.14293411374092102","0.14293411374092102","220","220","220"
"22199","0.14943942427635193","0.14943942427635193","0.14943942427635193","221","221","221"
"22299","0.13772189617156982","0.13772189617156982","0.13772189617156982","222","222","222"
"22399","0.14545150101184845","0.14545150101184845","0.14545150101184845","223","223","223"
"22499","0.13532662391662598","0.13532662391662598","0.13532662391662598","224","224","224"
"22599","0.14035014808177948","0.14035014808177948","0.14035014808177948","225","225","225"
"22699","0.14299915730953217","0.14299915730953217","0.14299915730953217","226","226","226"
"22799","0.14484602212905884","0.14484602212905884","0.14484602212905884","227","227","227"
"22899","0.14111392199993134","0.14111392199993134","0.14111392199993134","228","228","228"
"22999","0.1379970908164978","0.1379970908164978","0.1379970908164978","229","229","229"
"23099","0.14444054663181305","0.14444054663181305","0.14444054663181305","230","230","230"
"23199","0.13963523507118225","0.13963523507118225","0.13963523507118225","231","231","231"
"23299","0.14336685836315155","0.14336685836315155","0.14336685836315155","232","232","232"
"23399","0.1487550586462021","0.1487550586462021","0.1487550586462021","233","233","233"
"23499","0.14934761822223663","0.14934761822223663","0.14934761822223663","234","234","234"
"23599","0.14618398249149323","0.14618398249149323","0.14618398249149323","235","235","235"
"23699","0.13802514970302582","0.13802514970302582","0.13802514970302582","236","236","236"
"23799","0.14402100443840027","0.14402100443840027","0.14402100443840027","237","237","237"
"23899","0.1498355120420456","0.1498355120420456","0.1498355120420456","238","238","238"
"23999","0.14150071144104004","0.14150071144104004","0.14150071144104004","239","239","239"
"24099","0.1413172334432602","0.1413172334432602","0.1413172334432602","240","240","240"
"24199","0.13939233124256134","0.13939233124256134","0.13939233124256134","241","241","241"
"24299","0.14621111750602722","0.14621111750602722","0.14621111750602722","242","242","242"
"24399","0.1424136608839035","0.1424136608839035","0.1424136608839035","243","243","243"
"24499","0.13782618939876556","0.13782618939876556","0.13782618939876556","244","244","244"
"24599","0.13879737257957458","0.13879737257957458","0.13879737257957458","245","245","245"
"24699","0.14407271146774292","0.14407271146774292","0.14407271146774292","246","246","246"
"24799","0.13720370829105377","0.13720370829105377","0.13720370829105377","247","247","247"
"24899","0.13922585546970367","0.13922585546970367","0.13922585546970367","248","248","248"
"24999","0.14115455746650696","0.14115455746650696","0.14115455746650696","249","249","249"
"25099","0.14571958780288696","0.14571958780288696","0.14571958780288696","250","250","250"
"25199","0.14394685626029968","0.14394685626029968","0.14394685626029968","251","251","251"
