"trainer/global_step","prefix4sinh_mid - train_loss","prefix4sinh_mid - train_loss__MIN","prefix4sinh_mid - train_loss__MAX","prefix4sinh_mid - _step","prefix4sinh_mid - _step__MIN","prefix4sinh_mid - _step__MAX"
"18799","0.13714028894901276","0.13714028894901276","0.13714028894901276","187","187","187"
"18899","0.13585782051086426","0.13585782051086426","0.13585782051086426","188","188","188"
"18999","0.1399051696062088","0.1399051696062088","0.1399051696062088","189","189","189"
"19099","0.1400202214717865","0.1400202214717865","0.1400202214717865","190","190","190"
"19199","0.1288333237171173","0.1288333237171173","0.1288333237171173","191","191","191"
"19299","0.13883009552955627","0.13883009552955627","0.13883009552955627","192","192","192"
"19399","0.13248483836650848","0.13248483836650848","0.13248483836650848","193","193","193"
"19499","0.13513639569282532","0.13513639569282532","0.13513639569282532","194","194","194"
"19599","0.13777264952659607","0.13777264952659607","0.13777264952659607","195","195","195"
"19699","0.13793182373046875","0.13793182373046875","0.13793182373046875","196","196","196"
"19799","0.13982261717319489","0.13982261717319489","0.13982261717319489","197","197","197"
"19899","0.1360466629266739","0.1360466629266739","0.1360466629266739","198","198","198"
"19999","0.14027850329875946","0.14027850329875946","0.14027850329875946","199","199","199"
"20099","0.13886906206607819","0.13886906206607819","0.13886906206607819","200","200","200"
"20199","0.13349242508411407","0.13349242508411407","0.13349242508411407","201","201","201"
"20299","0.1390695571899414","0.1390695571899414","0.1390695571899414","202","202","202"
"20399","0.13760727643966675","0.13760727643966675","0.13760727643966675","203","203","203"
"20499","0.13602332770824432","0.13602332770824432","0.13602332770824432","204","204","204"
"20599","0.1416066288948059","0.1416066288948059","0.1416066288948059","205","205","205"
"20699","0.13174653053283691","0.13174653053283691","0.13174653053283691","206","206","206"
"20799","0.13281965255737305","0.13281965255737305","0.13281965255737305","207","207","207"
"20899","0.13448984920978546","0.13448984920978546","0.13448984920978546","208","208","208"
"20999","0.13336922228336334","0.13336922228336334","0.13336922228336334","209","209","209"
"21099","0.13738980889320374","0.13738980889320374","0.13738980889320374","210","210","210"
